observation_date,TCU
1984-01-01,79.7207
1984-02-01,79.9686
1984-03-01,80.2444
1984-04-01,80.5902
1984-05-01,80.8857
1984-06-01,81.0276
1984-07-01,81.0869
1984-08-01,80.9969
1984-09-01,80.5761
1984-10-01,80.3793
1984-11-01,80.4551
1984-12-01,80.2819
1985-01-01,80.0654
1985-02-01,80.0794
1985-03-01,79.9936
1985-04-01,79.6154
1985-05-01,79.5300
1985-06-01,79.2950
1985-07-01,78.7325
1985-08-01,78.7932
1985-09-01,78.8917
1985-10-01,78.4909
1985-11-01,78.6240
1985-12-01,79.2506
1986-01-01,79.5708
1986-02-01,78.9079
1986-03-01,78.2531
1986-04-01,78.2809
1986-05-01,78.3175
1986-06-01,77.9257
1986-07-01,78.3589
1986-08-01,78.1348
1986-09-01,78.2497
1986-10-01,78.4896
1986-11-01,78.7000
1986-12-01,79.3312
1987-01-01,78.9302
1987-02-01,79.8320
1987-03-01,79.7990
1987-04-01,80.1481
1987-05-01,80.4929
1987-06-01,80.7451
1987-07-01,81.1334
1987-08-01,81.5864
1987-09-01,81.7620
1987-10-01,82.7171
1987-11-01,83.0015
1987-12-01,83.3639
1988-01-01,83.2612
1988-02-01,83.6092
1988-03-01,83.7608
1988-04-01,84.2045
1988-05-01,84.0006
1988-06-01,84.2142
1988-07-01,84.1973
1988-08-01,84.5859
1988-09-01,84.2804
1988-10-01,84.5914
1988-11-01,84.7301
1988-12-01,85.0338
1989-01-01,85.1891
1989-02-01,84.7014
1989-03-01,84.7860
1989-04-01,84.6312
1989-05-01,83.9944
1989-06-01,83.8190
1989-07-01,82.8332
1989-08-01,83.4581
1989-09-01,83.0045
1989-10-01,82.6969
1989-11-01,82.7778
1989-12-01,83.0331
1990-01-01,82.4179
1990-02-01,82.9732
1990-03-01,83.1981
1990-04-01,82.8001
1990-05-01,82.8798
1990-06-01,82.9978
1990-07-01,82.7018
1990-08-01,82.8509
1990-09-01,82.7293
1990-10-01,82.1303
1990-11-01,80.9828
1990-12-01,80.2964
1991-01-01,79.9522
1991-02-01,79.2872
1991-03-01,78.7629
1991-04-01,78.9062
1991-05-01,79.5846
1991-06-01,80.1624
1991-07-01,80.3158
1991-08-01,80.2365
1991-09-01,80.7851
1991-10-01,80.6424
1991-11-01,80.4053
1991-12-01,79.8949
1992-01-01,79.3278
1992-02-01,79.7329
1992-03-01,80.2464
1992-04-01,80.6802
1992-05-01,80.7640
1992-06-01,80.6204
1992-07-01,81.1771
1992-08-01,80.5433
1992-09-01,80.6355
1992-10-01,81.0138
1992-11-01,81.1636
1992-12-01,81.1549
1993-01-01,81.3264
1993-02-01,81.5884
1993-03-01,81.3955
1993-04-01,81.5045
1993-05-01,81.0851
1993-06-01,81.1568
1993-07-01,81.2620
1993-08-01,81.0442
1993-09-01,81.3448
1993-10-01,81.7992
1993-11-01,82.0178
1993-12-01,82.3349
1994-01-01,82.3903
1994-02-01,82.2437
1994-03-01,82.8710
1994-04-01,83.1358
1994-05-01,83.2793
1994-06-01,83.5893
1994-07-01,83.4406
1994-08-01,83.7334
1994-09-01,83.7254
1994-10-01,84.1216
1994-11-01,84.4140
1994-12-01,84.9892
1995-01-01,84.8472
1995-02-01,84.4634
1995-03-01,84.3123
1995-04-01,83.8748
1995-05-01,83.9876
1995-06-01,83.9584
1995-07-01,83.2944
1995-08-01,84.0724
1995-09-01,84.0747
1995-10-01,83.5800
1995-11-01,83.4429
1995-12-01,83.3654
1996-01-01,82.5158
1996-02-01,83.3451
1996-03-01,82.8594
1996-04-01,83.2941
